"","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2020-07-01",61.779999,62.900002,61.23,61.610001,6860300,58.597801
"2020-07-02",62.669998,63.459999,61.619999,61.790001,8238300,58.768997
"2020-07-06",63.060001,63.830002,62.119999,63.32,6128200,60.224194
"2020-07-07",62.540001,62.830002,60.939999,61.009998,8783000,58.027138
"2020-07-08",60.880001,61.639999,60.200001,61.009998,9306900,58.027138
"2020-07-09",60.66,60.880001,58.060001,58.110001,10778900,55.268917
"2020-07-10",59.099998,60.200001,58.77,59.639999,10458000,56.724113
"2020-07-13",60.279999,60.799999,58.740002,59.349998,7440800,56.448296
"2020-07-14",59,60.560001,58.450001,60.470001,7256800,57.513538
"2020-07-15",62.349998,63.220001,62.049999,62.939999,9036900,59.862774
"2020-07-16",62.299999,62.810001,61.450001,62.369999,5684100,59.320644
"2020-07-17",62.470001,62.610001,61.709999,62.200001,10789100,59.158955
"2020-07-20",61.779999,62.029999,60.82,61.41,6688300,58.407578
"2020-07-21",62,63.48,61.830002,63.049999,7395200,59.967396
"2020-07-22",62.599998,63.73,62.169998,63.630001,5758700,60.519043
"2020-07-23",63.59,64.330002,62.880001,63.119999,6043300,60.03397
"2020-07-24",63.209999,63.970001,61.790001,62.07,6058900,59.035309
"2020-07-27",61.650002,61.849998,60.650002,61.09,10194300,58.10323
"2020-07-28",61.740002,61.82,59.75,61,13111800,58.01762
"2020-07-29",60.700001,60.990002,59.060001,59.400002,11162500,56.495853
"2020-07-30",58.619999,58.650002,57.27,57.459999,12292100,54.6507
"2020-07-31",57.360001,57.380001,56.110001,56.68,11437200,53.90884
"2020-08-03",56.470001,57.52,55.73,57.509998,8789300,54.698257
"2020-08-04",57.720001,57.91,57.119999,57.509998,7844600,54.698257
"2020-08-05",57.849998,60.049999,57.700001,60.029999,10115900,57.095043
"2020-08-06",59.5,60.41,59.299999,59.869999,5786700,56.942867
"2020-08-07",59.869999,61.290001,59.349998,61.23,6263100,58.236378
"2020-08-10",61.5,64.440002,61.360001,64.230003,10042600,61.089706
"2020-08-11",65.190002,66.150002,64.080002,64.260002,12120800,61.11824
"2020-08-12",65.129997,65.139999,63.380001,64.290001,7327000,61.146774
"2020-08-13",63.060001,64.040001,62.650002,63.299999,9452000,60.653301
"2020-08-14",62.799999,64.239998,62.59,63.639999,5124400,60.979088
"2020-08-17",63.580002,63.880001,62.68,62.77,6408400,60.145462
"2020-08-18",62.720001,63.169998,62.029999,62.099998,4727700,59.503483
"2020-08-19",62.02,62.91,61.5,61.639999,5381200,59.062714
"2020-08-20",61,61.419998,60.34,60.990002,4689200,58.439892
"2020-08-21",60.669998,61.279999,60.23,60.27,7067400,57.749992
"2020-08-24",60.400002,62.040001,60.130001,61.880001,6379800,59.292683
"2020-08-25",61.360001,61.400002,59.639999,60.950001,12678800,58.401566
"2020-08-26",60.639999,60.919998,59.990002,60.77,8659600,58.229088
"2020-08-27",60.759998,61.959999,60.380001,60.900002,8749800,58.353653
"2020-08-28",61.119999,62.529999,60.630001,62.240002,18550100,59.637627
"2020-08-31",62.189999,63.57,60.919998,61,10885700,58.449474
"2020-09-01",60.689999,61.349998,60.119999,60.68,9308800,58.142849
"2020-09-02",61,62.150002,60.759998,62,7511900,59.407665
"2020-09-03",62.189999,63.200001,60.419998,60.860001,8515700,58.315327
"2020-09-04",61.490002,62.209999,59.939999,61.169998,6785900,58.612366
"2020-09-08",60.380001,60.59,58.82,59.25,10523800,56.772644
"2020-09-09",59.77,60.310001,58.889999,59.580002,7560700,57.088844
"2020-09-10",60.299999,61.68,59.380001,59.52,8670400,57.031353
"2020-09-11",59.5,60.900002,59.400002,60.650002,9780900,58.114109
"2020-09-14",61.279999,62.23,61.080002,61.970001,6548600,59.378918
"2020-09-15",61.740002,62.439999,60.959999,61.439999,7069300,58.871075
"2020-09-16",61.240002,63.73,60.91,62.919998,8873300,60.289188
"2020-09-17",62.23,64.010002,61.560001,62.810001,6062800,60.183792
"2020-09-18",62.57,63.330002,62.099998,62.349998,16814200,59.743027
"2020-09-21",61.580002,62.57,59.630001,60.02,8845200,57.510448
"2020-09-22",59.939999,60.779999,58.93,59.790001,5883200,57.290062
"2020-09-23",59.82,60.880001,58.299999,58.330002,7280000,55.891113
"2020-09-24",58.049999,58.32,56.619999,57.380001,7737300,54.980831
"2020-09-25",56.869999,57.740002,56.34,57.490002,11955200,55.086239
"2020-09-28",58.09,59.57,58.09,58.889999,5457500,56.427689
"2020-09-29",58.68,58.790001,57.490002,57.599998,6362100,55.191628
"2020-09-30",57.610001,58.610001,57.099998,57.540001,7708400,55.134144
"2020-10-01",57.82,58.450001,57.09,57.459999,6525600,55.057487
"2020-10-02",56.52,59.380001,56.509998,59.34,8381200,56.858883
"2020-10-05",59.849998,60.330002,59.169998,59.509998,6077800,57.021774
"2020-10-06",59.810001,60.580002,58.43,58.450001,7187200,56.006096
"2020-10-07",59.310001,59.939999,58.950001,59.689999,4925800,57.194244
"2020-10-08",59.82,60.849998,59.68,60.799999,4483000,58.257835
"2020-10-09",61.220001,61.330002,59.889999,59.91,3996200,57.405048
"2020-10-12",59.84,60.68,59.560001,60.529999,5378900,57.999119
"2020-10-13",59.75,60.099998,58.529999,59.52,8836700,57.031353
"2020-10-14",59.279999,60.34,59.209999,59.939999,5971800,57.433792
"2020-10-15",59.369999,60.5,58.919998,60.490002,6166000,57.9608
"2020-10-16",61,62.040001,60.639999,61.75,8287700,59.168114
"2020-10-19",61.599998,62.669998,61,61.459999,7373300,58.89024
"2020-10-20",61.98,62.310001,61.040001,61.240002,5960800,58.679443
"2020-10-21",60.419998,61.099998,60.189999,60.349998,5647200,57.826645
"2020-10-22",60.23,62.970001,60.220001,62.799999,6990100,60.17421
"2020-10-23",63.07,63.790001,62.419998,62.57,5864600,59.953831
"2020-10-26",61.650002,61.75,59.880001,60.810001,7596800,58.267418
"2020-10-27",59.77,59.799999,56.439999,56.529999,14785900,54.16637
"2020-10-28",55.200001,56.07,52.25,52.34,19787500,50.151562
"2020-10-29",52.5,53.48,51.919998,53.139999,14994500,50.918114
"2020-10-30",53.119999,54.450001,52.919998,54.32,14571800,52.048775
"2020-11-02",55.400002,56,53.91,55.75,9750800,53.418987
"2020-11-03",56.509998,57.509998,56.34,57.040001,7740500,54.655048
"2020-11-04",57.360001,58.59,56.139999,56.82,8662000,54.444248
"2020-11-05",57.110001,58.82,56.869999,58.279999,7446700,55.843201
"2020-11-06",57.630001,58.849998,57.240002,58.560001,7849800,56.111496
"2020-11-09",65.120003,66.389999,62.490002,64.989998,19021200,62.272644
"2020-11-10",66.099998,68.150002,65.75,67.889999,14358600,65.051384
"2020-11-11",67.650002,67.699997,65.120003,65.849998,10124700,63.09668
"2020-11-12",63.880001,64.639999,63.27,63.990002,8345100,61.759953
"2020-11-13",64.779999,66.400002,64.519997,66.150002,6824200,63.844681
"2020-11-16",67.559998,69.040001,67.150002,68.660004,12885000,66.267204
"2020-11-17",67.519997,69.620003,67.360001,68.870003,11134200,66.469887
"2020-11-18",69.669998,71.32,69.330002,69.510002,13392600,67.087578
"2020-11-19",68.650002,71.230003,68.199997,71.110001,8929000,68.631813
"2020-11-20",70.800003,71.120003,69.650002,69.760002,5833800,67.328865
"2020-11-23",70.82,72.839996,70.339996,72.639999,7208800,70.108513
"2020-11-24",74.089996,75.32,73.800003,74.360001,10570500,71.768555
"2020-11-25",73.550003,74.190002,72.900002,73.809998,5374200,71.237724
"2020-11-27",73.769997,74.400002,73.389999,73.910004,5103400,71.334236
"2020-11-30",73.089996,73.550003,71.360001,71.720001,10730800,69.220566
"2020-12-01",72.720001,72.940002,71.209999,71.230003,6544600,68.74765
"2020-12-02",71.190002,72.349998,70.690002,71.940002,5401600,69.432899
"2020-12-03",72.110001,74.389999,71.910004,73.290001,6893900,70.735847
"2020-12-04",73.379997,74.660004,73.379997,73.910004,9297900,71.334236
"2020-12-07",73.379997,73.75,72.550003,73.040001,4913800,70.49456
"2020-12-08",73.190002,74.510002,72.790001,74.480003,4364900,71.884377
"2020-12-09",74.470001,74.82,73.279999,73.540001,5329300,70.977127
"2020-12-10",72.970001,73.739998,72.449997,72.980003,7497900,70.436646
"2020-12-11",72.660004,73.580002,72.360001,72.889999,7185900,70.349785
"2020-12-14",73.400002,73.830002,70.709999,70.800003,10849300,68.332619
"2020-12-15",71.5,71.800003,70.099998,71.040001,7769000,68.564262
"2020-12-16",71.150002,71.18,70.449997,70.57,5621100,68.110634
"2020-12-17",71.389999,71.489998,70.510002,70.639999,5769900,68.1782
"2020-12-18",70.57,70.760002,69.809998,70.169998,16809800,67.724579
"2020-12-21",68.690002,70.239998,67.779999,69.669998,8351700,67.242004
"2020-12-22",69.489998,70.110001,68.970001,69.25,4028200,66.836632
"2020-12-23",69.790001,71.410004,69.589996,70.720001,4312900,68.255409
"2020-12-24",70.949997,70.949997,69.889999,70.269997,1758600,67.821091
"2020-12-28",70.699997,71.459999,70.339996,70.629997,2938000,68.168541
"2020-12-29",71,71.099998,69.669998,70.339996,3670100,67.888649
"2020-12-30",70.5,71.639999,70.339996,71.360001,5015500,68.873116
"2020-12-31",71.349998,71.699997,70.940002,71.510002,4177000,69.017868
"2021-01-04",71.379997,71.559998,68.309998,68.43,7660500,66.045219
"2021-01-05",68.760002,69.879997,68.400002,69.419998,6436800,67.00071
"2021-01-06",68.5,71.489998,68.449997,70.279999,8753800,67.83075
"2021-01-07",70.349998,70.870003,69.690002,69.779999,8771400,67.348167
"2021-01-08",69.959999,70.080002,68.699997,69.860001,5158100,67.425377
"2021-01-11",68.790001,69.849998,68.519997,69.800003,4569000,67.36747
"2021-01-12",69.690002,71.720001,69.57,71.519997,5356200,69.027519
"2021-01-13",71.300003,71.449997,69.790001,70.5,7032600,68.043076
"2021-01-14",71,72.370003,70.550003,70.940002,9712500,68.467751
"2021-01-15",70.309998,70.330002,68.949997,69.199997,6980800,66.788391
"2021-01-19",69.779999,70.050003,69.150002,69.360001,7381800,66.942818
"2021-01-20",69.470001,69.529999,68.610001,68.839996,4657700,66.440926
"2021-01-21",68.330002,68.699997,67.849998,68.110001,7366800,65.736359
"2021-01-22",67.720001,68.110001,67.120003,67.580002,4558100,65.224838
"2021-01-25",66.040001,66.519997,65.019997,66.279999,10514000,63.970142
"2021-01-26",69.199997,70.93,67.190002,67.199997,13322200,64.858086
"2021-01-27",66.550003,67.760002,65.25,65.5,12377000,63.217335
"2021-01-28",66.440002,69.290001,66.209999,68.169998,8753200,65.794273
"2021-01-29",67.110001,67.559998,66.110001,66.730003,15649100,64.404472
"2021-02-01",67.599998,67.599998,66.129997,66.959999,5994000,64.62645
"2021-02-02",67.669998,70.419998,67.550003,70.139999,8710600,67.695618
"2021-02-03",69.760002,70.919998,69.370003,70.580002,8370000,68.120293
"2021-02-04",71.07,72.809998,70.730003,72.68,9024300,70.147102
"2021-02-05",73.349998,73.879997,72,72.330002,7952700,69.809296
"2021-02-08",72.279999,72.68,71.809998,72.489998,4964300,69.963722
"2021-02-09",72.25,73.339996,71.57,73.040001,6263000,70.49456
"2021-02-10",72.760002,73.139999,72.139999,72.470001,3930200,69.944427
"2021-02-11",72.470001,73.190002,71.169998,72.330002,4535800,69.809296
"2021-02-12",72.089996,72.82,71.82,72.610001,4207500,70.079544
"2021-02-16",72.839996,73.25,72.040001,72.610001,6110200,70.079544
"2021-02-17",72.290001,73.209999,72.080002,73.059998,5186900,70.513855
"2021-02-18",72.470001,73.050003,72.019997,72.879997,4903800,70.340141
"2021-02-19",73.379997,74.309998,73.099998,74.260002,6275900,71.67205
"2021-02-22",72.25,74.260002,72.220001,73,10506900,70.455963
"2021-02-23",73.410004,74.010002,72.529999,73.989998,11686700,71.411453
"2021-02-24",74.190002,78.169998,73.519997,77.669998,11159300,74.963196
"2021-02-25",76.660004,77.120003,72.949997,73.32,9483300,71.200233
"2021-02-26",73.93,73.93,71.989998,71.989998,8000700,69.908691
"2021-03-01",73.510002,75.339996,73.099998,74.360001,10910500,72.210167
"2021-03-02",74.309998,75.419998,74.199997,74.669998,5792300,72.5112
"2021-03-03",74.800003,76.389999,74.650002,75.07,5960700,72.899651
"2021-03-04",75.019997,76.459999,72.739998,74.419998,8284200,72.268433
"2021-03-05",75.230003,75.57,73.099998,75.18,6661900,73.006462
"2021-03-08",76.110001,77.339996,75.540001,75.610001,7232100,73.424034
"2021-03-09",76.040001,76.699997,74.75,74.830002,6558300,72.666573
"2021-03-10",75.400002,77.150002,74.989998,76.559998,6776600,74.346558
"2021-03-11",76.57,78.080002,76.199997,77.050003,6314900,74.822395
"2021-03-12",78,78.870003,77.68,78.519997,6075900,76.249893
"2021-03-15",78.779999,80.059998,78.349998,79.57,7848900,77.269539
"2021-03-16",79.440002,79.669998,78.010002,78.239998,5941500,75.977997
"2021-03-17",78.459999,79.839996,78.309998,79.559998,6685900,77.259827
"2021-03-18",79.220001,79.919998,77.879997,77.940002,6093500,75.686668
"2021-03-19",78,78.550003,76.120003,78.360001,15023800,76.094521
"2021-03-22",78.360001,78.540001,76.589996,76.919998,7457100,74.696152
"2021-03-23",76.269997,77.169998,75.010002,75.18,8285400,73.006462
"2021-03-24",76.230003,77.830002,75.550003,75.550003,7722600,73.365761
"2021-03-25",75.099998,77.669998,74.629997,77.529999,6359100,75.288521
"2021-03-26",77.410004,78.260002,76.57,78.169998,6193900,75.910011
"2021-03-29",78.309998,78.989998,77.529999,77.68,7136700,75.434181
"2021-03-30",77.620003,78.449997,77.260002,77.82,5540000,75.570137
"2021-03-31",77.839996,78.220001,77.050003,77.269997,6003300,75.036026
"2021-04-01",77.610001,77.800003,76.93,77.279999,6166200,75.045746
"2021-04-05",77.860001,78.449997,77.540001,77.910004,5637900,75.657524
"2021-04-06",77.589996,78.089996,77.199997,77.510002,8489200,75.269096
"2021-04-07",77.489998,78.110001,77.050003,77.599998,5334700,75.356499
"2021-04-08",77.129997,77.559998,76.489998,77.480003,5043000,75.239967
"2021-04-09",78.540001,78.879997,77.650002,78.290001,5423400,76.02655
"2021-04-12",78.25,78.82,78.129997,78.720001,5485800,76.444107
"2021-04-13",78,78.080002,76.739998,77.699997,5490700,75.453606
"2021-04-14",78,78.690002,77.769997,77.959999,4855200,75.706085
"2021-04-15",78.160004,78.279999,76.980003,77.970001,5106500,75.71579
"2021-04-16",78.589996,78.589996,77.050003,78.220001,7629700,75.958572
"2021-04-19",78.120003,78.730003,77.739998,78.589996,6265600,76.317879
"2021-04-20",77.800003,77.910004,76.07,77.089996,8692700,74.861237
"2021-04-21",76.809998,78.940002,76.400002,78.870003,5186900,76.589783
"2021-04-22",78.989998,79.910004,78.550003,78.739998,6706800,76.463547
"2021-04-23",78.809998,80.760002,78.809998,80.540001,7139200,78.211494
"2021-04-26",81,82.07,80.800003,81,12145600,78.658195
"2021-04-27",82.760002,83.690002,80.879997,82.809998,11082400,80.415863
"2021-04-28",81.480003,83.120003,81.480003,83.080002,7164200,80.678062
"2021-04-29",83.559998,83.800003,82.510002,82.870003,6237000,80.474144
"2021-04-30",82.550003,83.410004,82.349998,83.239998,5616000,80.833443
"2021-05-03",83.800003,84.449997,83.279999,84.139999,5828800,81.70742
"2021-05-04",84.120003,84.589996,83.150002,83.940002,9306900,81.513199
"2021-05-05",83.629997,84.669998,83.540001,84.129997,4658200,81.697708
"2021-05-06",84.809998,84.900002,83.529999,84.68,4903900,82.231804
"2021-05-07",84.809998,85.93,84.139999,85.709999,6056000,83.232018
"2021-05-10",86.860001,87.040001,84.93,85.040001,9042600,82.581398
"2021-05-11",84.239998,85.199997,83.349998,84.330002,6708100,81.89193
"2021-05-12",84.230003,84.860001,82.220001,82.279999,6086800,79.901184
"2021-05-13",82.300003,84.279999,82.139999,83.779999,4701200,81.357826
"2021-05-14",84.449997,86.07,84.360001,85.879997,4989200,83.397102
"2021-05-17",85.059998,86.57,85.059998,86.57,5059800,84.067162
"2021-05-18",86.199997,86.959999,85.349998,85.379997,7438300,82.91156
"2021-05-19",84.839996,85.269997,83.580002,85.209999,9296500,82.746483
"2021-05-20",84.739998,85.559998,84.089996,85.230003,10059900,83.264267
"2021-05-21",85.849998,87.099998,85.550003,85.809998,5803800,83.830879
"2021-05-24",86.489998,86.949997,86,86.480003,5113300,84.485435
"2021-05-25",86.629997,87.279999,85.989998,86.260002,7606300,84.270508
"2021-05-26",86.330002,86.730003,86,86.5,4826200,84.504967
"2021-05-27",88.5,88.809998,87.709999,88.610001,10492200,86.566299
"2021-05-28",88.400002,88.830002,88.040001,88.709999,4850300,86.664001
"2021-06-01",89.809998,89.93,88.839996,88.989998,4302200,86.937531
"2021-06-02",89.25,89.25,88.449997,88.629997,4429100,86.585846
"2021-06-03",88.110001,88.970001,87.889999,88.68,4083200,86.634682
"2021-06-04",88.650002,89.239998,88.550003,89.019997,4082800,86.966843
"2021-06-07",88.970001,89.150002,88.480003,88.970001,5693900,86.917999
"2021-06-08",89.199997,89.779999,88.760002,89.449997,4777000,87.386925
"2021-06-09",89.360001,89.57,88.82,88.849998,4594500,86.800758
"2021-06-10",89.800003,89.980003,88.160004,88.25,4826300,86.2146
"2021-06-11",88.699997,88.970001,88.169998,88.809998,4082700,86.761681
"2021-06-14",88.720001,89.190002,88.25,88.720001,5924900,86.673759
"2021-06-15",88.949997,89.800003,88.800003,89.400002,5336700,87.338081
"2021-06-16",89.230003,89.43,87.949997,88.43,8033800,86.390457
"2021-06-17",88.480003,88.730003,86.32,87.129997,7480500,85.12043
"2021-06-18",85.900002,86.730003,85.620003,85.919998,10387200,83.938347
"2021-06-21",86.75,88.139999,86.519997,88,5097400,85.970375
"2021-06-22",87.68,88.059998,86.860001,87.379997,4150100,85.36467
"2021-06-23",87.419998,87.610001,86.57,86.599998,3524500,84.602654
"2021-06-24",87.18,87.18,86.260002,86.849998,5335200,84.846901
"2021-06-25",87.029999,87.400002,86.68,86.720001,6611000,84.719887
"2021-06-28",86.389999,86.400002,84.760002,85.110001,5738300,83.147034
"2021-06-29",85.379997,85.870003,84.339996,84.440002,6496800,82.492477
"2021-06-30",84.339996,85.669998,84.139999,85.309998,4744500,83.342407
