"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"2020-07-01",65.029999,65.260002,63.630001,63.650002,873600,62.232292
"2020-07-02",64.629997,66.190002,64.449997,65.419998,1294500,63.962868
"2020-07-06",66.830002,67.529999,66.489998,67.150002,1171300,65.654343
"2020-07-07",66.419998,67.610001,65.889999,66.089996,1056200,64.617943
"2020-07-08",65.980003,66.580002,65.110001,65.739998,1003200,64.275734
"2020-07-09",65.480003,66.919998,64.839996,66.519997,1336300,65.038368
"2020-07-10",66.650002,67.129997,65.889999,66.510002,1301500,65.028603
"2020-07-13",67.089996,68.519997,66.639999,67.339996,1019900,65.840088
"2020-07-14",70.730003,73.400002,69.279999,73.330002,2442100,71.696686
"2020-07-15",74.32,75.389999,73.68,74.980003,1843800,73.309937
"2020-07-16",74.839996,77.300003,74.440002,74.75,1704100,73.085068
"2020-07-17",75.099998,75.099998,74.019997,74.25,1042700,72.596199
"2020-07-20",74.239998,74.629997,73.720001,74.169998,748400,72.517967
"2020-07-21",74.239998,75.470001,74.150002,74.43,960000,72.772179
"2020-07-22",74.650002,75.459999,74.309998,74.419998,780100,72.762398
"2020-07-23",74.529999,75.760002,74.110001,74.610001,872600,72.948166
"2020-07-24",73.870003,75.010002,73.870003,74.25,998600,72.596199
"2020-07-27",74.239998,75.360001,73.870003,75.260002,935800,73.583694
"2020-07-28",75.110001,75.510002,74.120003,74.339996,774700,72.684196
"2020-07-29",74.919998,77.360001,74.860001,77.169998,1196500,75.451157
"2020-07-30",76.290001,77.010002,73.199997,74.669998,1304800,73.006828
"2020-07-31",74.099998,74.720001,71.870003,72.980003,1392000,71.354485
"2020-08-03",73.349998,74.089996,72.669998,73.620003,858900,71.980217
"2020-08-04",73.639999,73.900002,72.57,73.790001,696400,72.146431
"2020-08-05",74.010002,76.169998,74.010002,76.029999,953800,74.336548
"2020-08-06",75.769997,76.360001,75.080002,75.790001,731000,74.101891
"2020-08-07",75.720001,77.150002,75.5,77.150002,864800,75.431602
"2020-08-10",77.540001,79.239998,77.300003,79,959200,77.240387
"2020-08-11",80.18,81.43,79.739998,80.300003,942400,78.511436
"2020-08-12",80.949997,81.470001,79.879997,80.099998,887100,78.315887
"2020-08-13",79.529999,80.010002,79.209999,79.480003,510800,77.709702
"2020-08-14",78.769997,80.050003,78.769997,79.620003,406100,77.846581
"2020-08-17",79.589996,79.900002,78.860001,79.220001,459000,77.455498
"2020-08-18",79.199997,79.910004,78.860001,79.330002,464600,77.563042
"2020-08-19",79.349998,80.309998,79.040001,79.379997,555600,77.611923
"2020-08-20",78.639999,79.540001,78.410004,79.379997,590400,77.611923
"2020-08-21",79.5,79.889999,78.839996,79.400002,536800,77.631493
"2020-08-24",79.580002,81.419998,79.470001,81.400002,635300,79.586937
"2020-08-25",81.650002,81.940002,80.25,80.940002,680000,79.137184
"2020-08-26",80.440002,81.230003,80.309998,80.699997,531000,79.156799
"2020-08-27",80.970001,81.730003,80.43,81.209999,578700,79.657043
"2020-08-28",81.360001,82.059998,80.559998,81.980003,484900,80.412338
"2020-08-31",81.980003,81.989998,80.099998,80.18,890800,78.646751
"2020-09-01",80.379997,81.790001,79.720001,81.730003,633500,80.167107
"2020-09-02",81.940002,83.589996,81.510002,83.18,912900,81.589378
"2020-09-03",83.580002,83.919998,80.879997,81.660004,954000,80.098442
"2020-09-04",82.739998,83.080002,81.269997,81.870003,891700,80.304428
"2020-09-08",81.519997,82.5,80.050003,81.349998,827200,79.794373
"2020-09-09",82.010002,84.470001,81.730003,83.410004,800900,81.81498
"2020-09-10",83.5,83.860001,81.75,82.019997,854300,80.451553
"2020-09-11",82.580002,84.870003,82.07,84.550003,781600,82.933182
"2020-09-14",85.07,85.349998,83.489998,84.209999,1155100,82.599686
"2020-09-15",84.5,85.599998,84.07,84.410004,792200,82.795868
"2020-09-16",84.599998,87.639999,83.879997,85.209999,1228000,83.580551
"2020-09-17",84.290001,86.269997,83.32,85.849998,1071700,84.208313
"2020-09-18",85.839996,87.260002,85.419998,85.589996,1915200,83.9533
"2020-09-21",83.720001,84,82.309998,83.459999,1420700,81.864029
"2020-09-22",83.209999,84.089996,82.720001,83.93,1069400,82.325035
"2020-09-23",83.949997,84.550003,82.339996,82.43,915900,80.853722
"2020-09-24",82.260002,83.220001,81.43,82.199997,1038800,80.628113
"2020-09-25",81.690002,83.279999,81.150002,83.059998,850700,81.471664
"2020-09-28",84.209999,84.970001,83.660004,83.860001,806800,82.256378
"2020-09-29",84.389999,84.389999,83.300003,83.769997,885600,82.168083
"2020-09-30",83.879997,85.160004,83.419998,84.120003,879900,82.511414
"2020-10-01",84.5,84.980003,81.910004,82.559998,699000,80.981224
"2020-10-02",80.949997,85.019997,80.949997,84.43,611400,82.815468
"2020-10-05",85.129997,86.519997,85,86.32,424700,84.669327
"2020-10-06",87.239998,88.599998,85.919998,86.510002,598900,84.855698
"2020-10-07",87.25,88.82,87.129997,88.199997,600500,86.513382
"2020-10-08",89.07,89.870003,88.059998,89.830002,560700,88.112213
"2020-10-09",90.550003,91.269997,89.809998,90.589996,722100,88.857666
"2020-10-12",90.989998,93.150002,90.82,91.870003,775300,90.113205
"2020-10-13",91.510002,92.309998,89.669998,89.889999,768700,88.171059
"2020-10-14",90.339996,91.519997,89.959999,90.82,776900,89.083282
"2020-10-15",89.93,91.470001,89.440002,90.970001,532100,89.230415
"2020-10-16",91.120003,92.660004,90.699997,91.519997,1506300,89.769882
"2020-10-19",91.050003,91.589996,89.900002,90.419998,779700,88.690926
"2020-10-20",91.199997,92.379997,90.589996,91.480003,778800,89.730652
"2020-10-21",91.480003,92.300003,90.489998,90.769997,883700,89.034225
"2020-10-22",91.129997,91.650002,90.410004,90.860001,1261300,89.122513
"2020-10-23",91.589996,91.790001,90.489998,91.589996,731800,89.838547
"2020-10-26",90.279999,90.830002,89.010002,90.07,486400,88.347626
"2020-10-27",89.760002,90.300003,88.629997,89.059998,736400,87.356926
"2020-10-28",87.440002,88.489998,86.860001,87.349998,950600,85.679642
"2020-10-29",87.099998,88.5,84.139999,86.860001,1265800,85.199005
"2020-10-30",87.040001,88.010002,85.639999,87.139999,851700,85.473656
"2020-11-02",88.839996,90.239998,87.669998,88.589996,1017800,86.89592
"2020-11-03",89.449997,92.019997,89.449997,91.610001,973100,89.85817
"2020-11-04",90.419998,90.980003,85.580002,86.779999,1044000,85.362801
"2020-11-05",88.989998,91.580002,87.910004,90.82,1063100,89.33683
"2020-11-06",90.68,91.849998,90.550003,91.080002,518800,89.592583
"2020-11-09",98.040001,99.059998,93.43,93.529999,1053000,92.002579
"2020-11-10",94.139999,96.480003,94.029999,95.110001,1016800,93.55677
"2020-11-11",95.889999,96.339996,93.110001,93.800003,936000,92.268158
"2020-11-12",93.290001,93.629997,91.370003,92.360001,546300,90.851677
"2020-11-13",92.510002,95.230003,92.510002,94.989998,640700,93.438721
"2020-11-16",96.589996,97.839996,95.43,97.389999,1000900,95.799545
"2020-11-17",96.830002,97.07,95.010002,95.949997,730900,94.383057
"2020-11-18",96.029999,96.489998,94.669998,94.980003,636100,93.428902
"2020-11-19",94.809998,95.199997,93.599998,94.370003,774600,92.828857
"2020-11-20",94.559998,95.419998,93.660004,94.379997,637900,92.838692
"2020-11-23",95.349998,95.889999,94,94.699997,540700,93.153465
"2020-11-24",96.139999,98.589996,95.800003,97.519997,1151100,95.927406
"2020-11-25",97.43,97.699997,96.169998,96.690002,900800,95.11097
"2020-11-27",97.360001,98.160004,96.529999,97.139999,453300,95.553604
"2020-11-30",96.82,97.120003,95.059998,95.970001,1498800,94.402718
"2020-12-01",97.519997,98.25,96.970001,97.07,1026100,95.484756
"2020-12-02",96.230003,96.800003,95.139999,96.139999,737100,94.569946
"2020-12-03",96.489998,97.970001,96.290001,96.75,1314300,95.169991
"2020-12-04",97.580002,99.389999,97.480003,98.410004,886200,96.802879
"2020-12-07",98.650002,98.989998,97.410004,98.199997,868700,96.596313
"2020-12-08",97.730003,99.330002,97.57,98.629997,813800,97.019295
"2020-12-09",98.980003,99.419998,97.730003,98.529999,1111000,96.920929
"2020-12-10",97.830002,98.599998,96.980003,98.209999,706900,96.60614
"2020-12-11",97.400002,98.779999,97.32,98.480003,730800,96.871742
"2020-12-14",99.260002,99.540001,97.059998,97.139999,682400,95.553604
"2020-12-15",97.470001,99.989998,97.190002,99.769997,881900,98.140671
"2020-12-16",100,100.370003,98.459999,99.019997,891800,97.402916
"2020-12-17",99.559998,100.290001,98.709999,99.75,964800,98.120987
"2020-12-18",99.839996,100.639999,98.790001,100.050003,1774600,98.416084
"2020-12-21",98.300003,101.269997,97.629997,100.720001,1023700,99.075157
"2020-12-22",100.550003,100.550003,98.349998,99.400002,1060300,97.776711
"2020-12-23",100.529999,100.75,99.379997,99.730003,593300,98.101326
"2020-12-24",100.309998,100.480003,99.309998,100.25,249700,98.612823
"2020-12-28",101.440002,101.610001,100.019997,100.370003,408600,98.730865
"2020-12-29",101.18,101.629997,99.059998,99.510002,501900,97.884918
"2020-12-30",99.949997,101.150002,99.650002,100.779999,418200,99.134163
"2020-12-31",100.779999,101.870003,100.510002,101.790001,504200,100.12767
"2021-01-04",102.029999,102.279999,98.199997,99.690002,814700,98.061981
"2021-01-05",99.739998,101.43,99.290001,99.57,1005200,97.943932
"2021-01-06",101.25,104.660004,100.809998,103.769997,1015300,102.07534
"2021-01-07",105.620003,108.68,104.5,108.480003,1539300,106.708427
"2021-01-08",105.870003,108.839996,104.519997,107.379997,1632200,105.626381
"2021-01-11",106.550003,107.400002,105.110001,106.019997,1285100,104.288597
"2021-01-12",106.239998,107.620003,105.07,105.830002,1292100,104.1017
"2021-01-13",106.209999,106.209999,104.269997,105.209999,1132800,103.491829
"2021-01-14",105.900002,106.389999,104.610001,105.529999,916500,103.806595
"2021-01-15",104.779999,104.940002,102.199997,103.5,1060200,101.809753
"2021-01-19",104.610001,105.419998,103.339996,104.260002,1247500,102.557343
"2021-01-20",105.110001,105.290001,103.419998,104,759200,102.301598
"2021-01-21",104,104.610001,102.419998,103.139999,1182300,101.455635
"2021-01-22",102.730003,103.25,102.169998,102.599998,1248400,100.924454
"2021-01-25",102.440002,104.07,100.370003,101,1247800,99.350578
"2021-01-26",101.449997,101.769997,99.220001,99.230003,1138000,97.609489
"2021-01-27",98.25,99.199997,96.599998,97.949997,1233100,96.35038
"2021-01-28",99.260002,100.32,98.980003,99.089996,1357900,97.471771
"2021-01-29",98.389999,98.849998,96.040001,96.589996,996300,95.012589
"2021-02-01",97.779999,97.919998,95.709999,97.139999,1135400,95.553604
"2021-02-02",98.389999,99.150002,96.690002,97.18,1272900,95.592957
"2021-02-03",97,97.389999,94.82,95.120003,2544400,93.566612
"2021-02-04",97.690002,99.57,95.050003,97.169998,2677900,95.58313
"2021-02-05",96.940002,98.650002,96.220001,98.190002,1226000,96.586479
"2021-02-08",98.419998,101.330002,98.410004,100.959999,1228600,99.311234
"2021-02-09",101.059998,101.5,99.550003,101.190002,1125100,99.537476
"2021-02-10",102.190002,102.220001,100.110001,101.139999,1015000,99.488289
"2021-02-11",101.620003,101.970001,98.059998,98.940002,1573700,97.324219
"2021-02-12",98,99.389999,96.580002,99.120003,1508800,97.501289
"2021-02-16",99.349998,100.860001,98.830002,98.980003,1468300,97.363564
"2021-02-17",98.389999,98.989998,97.449997,98.190002,867600,96.860474
"2021-02-18",97.849998,98,94.629997,96.800003,1143600,95.489296
"2021-02-19",97.519997,99.949997,97.099998,99.739998,981200,98.389488
"2021-02-22",99.089996,100.199997,98.910004,99.480003,932700,98.133011
"2021-02-23",99.910004,99.910004,97.459999,98.849998,833400,97.511536
"2021-02-24",99.169998,101.730003,97.919998,101.089996,793900,99.721199
"2021-02-25",100.970001,102.410004,99.599998,100,1022100,98.645958
"2021-02-26",99.949997,100.959999,99.529999,99.559998,1392400,98.211914
"2021-03-01",100.610001,103.440002,100.610001,102.230003,855500,100.845772
"2021-03-02",102.18,102.730003,101.370003,101.959999,873100,100.57943
"2021-03-03",102.18,102.910004,101.089996,101.139999,928000,99.770531
"2021-03-04",100.900002,101.239998,97.059998,98.5,899700,97.166267
"2021-03-05",99.529999,100.57,96.690002,100.239998,1044400,98.882713
"2021-03-08",100.449997,102.82,100.150002,100.919998,689800,99.553505
"2021-03-09",101.059998,102.449997,99.949997,100.010002,906700,98.65583
"2021-03-10",100.470001,101.160004,99.470001,101,1011800,99.632416
"2021-03-11",100.989998,102.290001,100.550003,101.059998,707300,99.691605
"2021-03-12",101.610001,102,100.75,101.870003,573800,100.490646
"2021-03-15",102.150002,104.169998,101.330002,104.059998,856800,102.650986
"2021-03-16",103.760002,104.290001,101.980003,102.559998,762900,101.171303
"2021-03-17",103.239998,104.769997,102.43,104.370003,878900,102.956795
"2021-03-18",103.849998,106.400002,103.849998,104.169998,1271900,102.759499
"2021-03-19",103.800003,104.849998,103.190002,104.010002,2013100,102.601669
"2021-03-22",103.559998,103.849998,101.150002,102.43,1131000,101.043053
"2021-03-23",101.389999,102.239998,99.849998,100.400002,1037000,99.04055
"2021-03-24",101.230003,103.199997,101.019997,101.110001,1091800,99.740944
"2021-03-25",101.139999,102.410004,99.160004,101.93,1070700,100.549835
"2021-03-26",102.800003,104.849998,102.169998,104.760002,790900,103.341515
"2021-03-29",104.400002,105.050003,103.370003,104.269997,808900,102.858139
"2021-03-30",104.459999,105.07,103.529999,104.879997,773800,103.459892
"2021-03-31",105.5,106.019997,103.529999,105.18,1061000,103.755821
"2021-04-01",106.129997,106.610001,104.120003,104.639999,754600,103.223145
"2021-04-05",105.199997,106.589996,105.160004,106.419998,828000,104.979042
"2021-04-06",106.639999,107.980003,106.050003,106.510002,752500,105.067818
"2021-04-07",106.029999,106.489998,105.209999,105.940002,651300,104.505539
"2021-04-08",105.57,106.25,104.940002,105.730003,554600,104.298386
"2021-04-09",106.410004,108,106.139999,108,778500,106.537643
"2021-04-12",108,108.489998,107.559998,108.410004,489000,106.942093
"2021-04-13",108.230003,108.360001,106.669998,107.110001,494400,105.659698
"2021-04-14",107,108.169998,106.970001,107.800003,444900,106.340363
"2021-04-15",107.93,108.300003,107.019997,108.040001,684400,106.577103
"2021-04-16",109.220001,109.669998,108.010002,108.610001,756800,107.139389
"2021-04-19",108.970001,108.980003,107.760002,108.209999,532000,106.744797
"2021-04-20",108.199997,108.769997,106.5,107.589996,548300,106.133194
"2021-04-21",107.629997,109.480003,107.589996,109.480003,591800,107.997604
"2021-04-22",110,110.720001,109.029999,109.080002,509200,107.603012
"2021-04-23",109.650002,110.879997,109.25,110.480003,468800,108.98407
"2021-04-26",111,111.989998,110.279999,110.440002,510300,108.944611
"2021-04-27",110.349998,111.480003,109.900002,111.360001,542900,109.85215
"2021-04-28",111.57,112.120003,111.059998,111.260002,465700,109.753494
"2021-04-29",112,112.639999,111.129997,112.269997,544900,110.749825
"2021-04-30",111.489998,111.93,110.309998,110.650002,773400,109.151756
"2021-05-03",111.510002,112.139999,110.419998,111.599998,879400,110.088898
"2021-05-04",112.669998,116.309998,111.300003,115.949997,1302500,114.379997
"2021-05-05",117.139999,117.68,114.910004,117.360001,887600,115.770905
"2021-05-06",117.589996,118.879997,116.849998,118.75,809100,117.142082
"2021-05-07",118.57,119.599998,117.739998,119.339996,766000,117.724091
"2021-05-10",120.120003,121,119.519997,119.800003,641300,118.177872
"2021-05-11",118.650002,118.949997,116.75,117.629997,852500,116.037247
"2021-05-12",117.099998,117.5,112.599998,112.980003,897600,111.450218
"2021-05-13",113.110001,116.440002,113.080002,115.849998,570200,114.281349
"2021-05-14",116.769997,118.82,116.360001,118.400002,510300,116.796814
"2021-05-17",117.660004,118.449997,116.580002,117.540001,424100,115.948471
"2021-05-18",117.339996,117.639999,115,115.139999,589900,113.580963
"2021-05-19",113.610001,113.629997,112.019997,113.18,1164800,111.647507
"2021-05-20",113.760002,114.099998,113.040001,113.809998,901100,112.268974
"2021-05-21",114.440002,115.830002,114.440002,115.470001,696400,113.906502
"2021-05-24",116.349998,116.370003,114.959999,115.900002,600700,114.330673
"2021-05-25",116.239998,117.75,115.959999,116.769997,763400,115.188889
"2021-05-26",116.519997,116.949997,116.050003,116.860001,543400,115.554756
"2021-05-27",118.360001,118.610001,117.18,117.599998,833400,116.286491
"2021-05-28",117.709999,118.400002,117.360001,118.120003,515400,116.800697
"2021-06-01",119.360001,119.870003,118.910004,119.279999,666000,117.947731
"2021-06-02",119.230003,119.400002,118.279999,118.769997,537000,117.443428
"2021-06-03",118.110001,118.540001,117.370003,118.5,759300,117.176445
"2021-06-04",119,119.540001,118.650002,119.239998,599000,117.908173
"2021-06-07",119.330002,119.529999,118.370003,119,633400,117.670853
"2021-06-08",118.830002,120.040001,117.769997,119.760002,527200,118.422379
"2021-06-09",119.449997,119.449997,118.269997,118.449997,670800,117.126999
"2021-06-10",119.220001,119.43,118.050003,118.230003,731900,116.909462
"2021-06-11",118.830002,119.080002,117.139999,118.160004,759400,116.840248
"2021-06-14",117.889999,118.110001,115.959999,117.269997,649500,115.960182
"2021-06-15",117.349998,118.209999,116.480003,118.089996,745600,116.771019
"2021-06-16",117.75,118.099998,115.32,115.489998,1010300,114.200058
"2021-06-17",115.599998,116.059998,112.459999,113.940002,1074800,112.667374
"2021-06-18",112.550003,114.230003,112.169998,113.419998,2234100,112.153183
"2021-06-21",114.739998,116.900002,114.739998,116.330002,725400,115.030693
"2021-06-22",116.300003,116.949997,115.559998,116.379997,731300,115.080124
"2021-06-23",117,117.260002,115.849998,116.07,668000,114.773582
"2021-06-24",116.599998,117.480003,115.620003,116.919998,648900,115.614082
"2021-06-25",117.43,117.889999,116.43,116.849998,3223900,115.544868
"2021-06-28",117.120003,119.529999,116.25,119.199997,917100,117.868622
"2021-06-29",119.629997,120.339996,119.040001,119.239998,712800,117.908173
"2021-06-30",118.82,120.220001,118.589996,119.959999,734300,118.62014
"2021-07-01",121,121.529999,119.75,120.139999,499000,118.798119
